,Unnamed: 0,precio_estimado,precio_venta,fecha,autor,casa_subasta,tipo,tecnica,dimensiones,fecha_creacion,titulo,precio_ajustado,is_inch,height,width
7998,8249," 2,000 - 4,000 USD "," 1,800 USD* ",2015-04-25, Rufino Tamayo,Trinity International Auctions,International Fine Art Auction, mixograph , 30 x 22 in (76.2 x 55.8 cm) ,,Hombre en Blanco by Rufino Tamayo,"2,249 USD",1,30.0,22.0
8000,8251," 60,000 - 80,000 USD "," 36,000 USD* ",2015-04-25, Alfredo Ramos Martínez,Sloans & Kenyon,April Estate Catalogue Auction, Tempera on paper , 14.5 in. x 13 in ,,CABEZA CLASICA by Alfredo Ramos Martínez,"44,985 USD",1,14.5,13.0
8001,8252," 4,000 - 6,000 EUR "," 5,000 EUR ",2015-04-28, René Portocarrero,Minerva Auctions (Finarte Rome),Modern & Contemporary Art, mixed media on paper , 50 x 65 cm , 1970 ,"TWO FIGURES OF THE CARNIVAL by René Portocarrero, 1970","6,860 USD",0,50.0,65.0
8002,8253," 2,500 - 3,500 USD "," 2,700 USD ",2015-04-28, Rufino Tamayo,"John Moran Auctioneers, Inc.",Decorative Art Auction, Color etching on Guarro paper , 29.5 x 22 in. , 1980 ,"Cabeza con Sombrero (Head with Hat) by Rufino Tamayo, 1980","3,374 USD",1,29.5,22.0
8003,8254," 4,000 - 6,000 EUR "," 5,000 EUR ",2015-04-28, René Portocarrero,Minerva Auctions (Finarte Rome),Modern & Contemporary Art, mixed media on paper , 50 x 65 cm , 1970 ,"CARNAVAL by René Portocarrero, 1970","6,860 USD",0,50.0,65.0
8004,8255," 2,000 - 3,000 USD "," 2,040 USD ",2015-04-28, Rufino Tamayo,"John Moran Auctioneers, Inc.",Decorative Art Auction, Color etching on guarro paper , 22 x 29.5 in. , 1980 ,"Bodegon (Still Life) by Rufino Tamayo, 1980","2,549 USD",1,22.0,29.5
8006,8257," 2,000 - 3,000 USD "," 1,800 USD ",2015-04-28, Rufino Tamayo,"John Moran Auctioneers, Inc.",Decorative Art Auction, Color etching on guarro paper under plexiglas , 29.5 x 22 in. , 1980 ,"Personaje en Gris (Personage in Gray) by Rufino Tamayo, 1980","2,249 USD",1,29.5,22.0
8007,8258," 1,000 - 1,500 EUR "," 1,625 EUR ",2015-04-28, René Portocarrero,Minerva Auctions (Finarte Rome),Modern & Contemporary Art, ink on paper , 35 x 45 cm , 1947 ,"THE DANCE by René Portocarrero, 1947","2,229 USD",0,35.0,45.0
8009,8260," 1,500 - 2,500 USD "," 2,813 USD ",2015-04-28, Francisco Zuñiga,Doyle New York,Prints & Multiples, color lithographs , Sheets: 14 x 19.875 in , 1982 ,"SET OF 10 WORKS: IMPRESIONES DE EGIPTO by Francisco Zuñiga, 1982","3,515 USD",1,14.0,19.875
8010,8261," 1,200 - 1,800 USD "," 1,625 USD ",2015-04-28, Francisco Zuñiga,Doyle New York,Prints & Multiples, Color lithographs , Larger sheet: 26.875 x 19.125 in ,,2 WORKS: MUJER CON MARANJA; MUJERE BEBIENDO by Francisco Zuñiga,"2,031 USD",1,26.875,19.125
8011,8262," 2,500 - 3,500 EUR "," 3,446 EUR ",2015-04-29, Jesus-Rafael Soto,Piasa,Limited Edition," Optical sculpture, silkscreened methacrylate and brass ", H 21 × L 15 × P 10 cm , 1955-1978 ,"Permutation by Jesus-Rafael Soto, 1955-1978","4,808 USD",0,21.0,15.0
8012,8263," 50,000 - 70,000 EUR "," 63,800 EUR ",2015-04-29, Jesus-Rafael Soto,Piasa,Limited Edition, Painted aluminium and Plexiglas ," 53,5 × 34,5 × 40 cm ", 1989/2008 ,"Esfera Theospacio by Jesus-Rafael Soto, 1989/2008","89,029 USD",0,53.0,5.0
8013,8264," 2,000 - 3,000 USD "," 3,500 USD ",2015-04-29, Rufino Tamayo,Swann Auction Galleries,Old Master Through Modern Prints, Color lithograph , 16.5 x 23.25 in , 1958 ,"Poesía del Vuelo by Rufino Tamayo, 1958","4,374 USD",1,16.5,23.25
8014,8265," 15,000 - 20,000 USD "," 27,500 USD ",2015-04-29, Diego Rivera,Swann Auction Galleries,Old Master Through Modern Prints, Lithograph , 16.5 x 11.75 in , 1932 ,"Fruits of Labor by Diego Rivera, 1932","34,363 USD",1,16.5,11.75
8015,8266," 1,000 - 2,000 USD "," 1,875 USD ",2015-05-03, Rufino Tamayo,Freeman's,Modern & Contemporary Art, Color lithograph on Japanese paper , 27.6875 x 21.25 in. (70.2 x 54cm) , 1969 ,"DOS CABEZAS by Rufino Tamayo, 1969","2,343 USD",1,27.687,5.0
8016,8267," 1,000 - 2,000 USD "," 1,875 USD ",2015-05-03, Rufino Tamayo,Freeman's,Modern & Contemporary Art, Color lithograph on BFK Rives , 21 x 27.625 in. (53.3 x 70.2cm) , 1969 ,"DOS CABEZAS DE MUJER by Rufino Tamayo, 1969","2,343 USD",1,21.0,27.625
8017,8268," 12,000 - 18,000 USD "," 20,000 USD ",2015-05-03, Rufino Tamayo,Freeman's,Modern & Contemporary Art, Color mixograph on handmade paper , 61 x 98 in. (154.9 x 248.9cm) , 1983 ,"DOS PERSONAJES ATACADOS POR PERROS by Rufino Tamayo, 1983","24,992 USD",1,61.0,98.0
8018,8269," 1,500 - 2,500 USD "," 2,500 USD ",2015-05-03, Rufino Tamayo,Freeman's,Modern & Contemporary Art, Color mixograph on Arches , 22.5625 x 29.875 in. (57.3 x 75.8cm) , 1976 ,"DOS FIGURAS by Rufino Tamayo, 1976","3,124 USD",1,22.562,5.0
8019,8270," 1,000 - 2,000 USD "," 1,625 USD ",2015-05-03, Rufino Tamayo,Freeman's,Modern & Contemporary Art, Color lithograph on Somerset , 30 x 21.8125 in. (76.2 x 55.4cm) , 1983 ,"SALOME by Rufino Tamayo, 1983","2,031 USD",1,30.0,21.812
8020,8271," 20,000 - 25,000 USD "," 18,000 USD* ",2015-05-06, Benito Quinquela Martin,Castells,Foreign Painting, Oil on cardboard , 60 x 70 cm , 1963 ,"Barco iluminado by Benito Quinquela Martin, 1963","22,492 USD",0,60.0,70.0
8021,8272," 800 - 1,200 USD ", 700 USD* ,2015-05-06, Francisco Toledo,Castells,Foreign Painting, Watercolor on paper , 19 x 20 cm ,,Sin título by Francisco Toledo,875 USD,0,19.0,20.0
8022,8273," 20,000 - 25,000 USD "," 18,000 USD* ",2015-05-06, Benito Quinquela Martin,Castells,Foreign Painting, Oil on cardboard , 50 x 60 cm ,,Día de sol by Benito Quinquela Martin,"22,492 USD",0,50.0,60.0
8023,8274," 10,000 - 15,000 USD "," 18,750 USD ",2015-05-07, Diego Rivera,Bonhams,Impressionist & Modern Art, India ink on rice paper , 15.25 x 11.25 in ,,Trabajador by Diego Rivera,"23,430 USD",1,15.25,11.25
8024,8275," 30,000 - 40,000 USD "," 60,000 USD ",2015-05-07, Alfredo Ramos Martínez,Bonhams,Impressionist & Modern Art," gouache, conte crayon and pencil on paper ", 22.5 x 27.375 in ,,La puesta del sol by Alfredo Ramos Martínez,"74,975 USD",1,22.5,27.375
8025,8276," 10,000 - 15,000 USD "," 18,750 USD ",2015-05-07, René Portocarrero,Bonhams,Impressionist & Modern Art," watercolor, gouache and pen and ink on paper ", 22.25 x 17.625 in , 1945 ,"Virgen y el Niño by René Portocarrero, 1945","23,430 USD",1,22.25,17.625
8026,8277," 5,000 - 7,000 USD "," 12,500 USD ",2015-05-07, René Portocarrero,Bonhams,Impressionist & Modern Art," watercolor, gouache, pen, brush and India ink on paper ", 14.25 x 10.25 in , 1955 ,"Mujer con los brazos cruzados by René Portocarrero, 1955","15,620 USD",1,14.25,10.25
8027,8278," 5,000 - 7,000 USD "," 6,875 USD ",2015-05-07, Jesus-Rafael Soto,Rago Arts and Auction Center,Post-War & Contemporary Art Auction, Painted metal and wood ," 19.5"" x 26"" x 5"" ", 1975 - 1976 ,"Homenaje al Humano, from An American Portrait by Jesus-Rafael Soto, 1975 - 1976","8,591 USD",1,19.5,26.0
8028,8279," 7,000 - 9,000 USD "," 11,875 USD ",2015-05-07, Francisco Toledo,Rago Arts and Auction Center,Post-War & Contemporary Art Auction, Ink and watercolor on paper ," 9.875"" x 13.625"" ", 1984 ,"Mujer Con Gato (Woman and Cat) by Francisco Toledo, 1984","14,839 USD",1,9.875,13.625
8029,8280," 10,000 - 15,000 USD "," 20,000 USD ",2015-05-07, René Portocarrero,Bonhams,Impressionist & Modern Art," gouache, brush and ink, and gray wash on heavy card ", 13.625 x 13.5 in , 1963 ,"Santa Barbara by René Portocarrero, 1963","24,992 USD",1,13.625,13.5
8030,8281," 1,000 - 1,500 USD "," 3,250 USD ",2015-05-07, Rufino Tamayo,Rago Arts and Auction Center,19/20th Century American/European Art Auction, Mixograph , 35.5 x 25.25 in ,,Hombre con Brazo en Alto by Rufino Tamayo,"4,061 USD",1,35.5,25.25
8032,8283," 2,000 - 4,000 USD "," 2,200 USD* ",2015-05-08, Rufino Tamayo,Weschler's,Capital Collections Estate Auction, Etching in color , 29.75 x 22 in ,,Persona Je en Azul by Rufino Tamayo,"2,749 USD",1,29.75,22.0
8033,8284," 7,000 - 10,000 USD "," 7,500 USD ",2015-05-11, Jesus-Rafael Soto,Bonhams,Post-War & Contemporary Prints & Multiples, Screenprint in colors on Plexiglas and plastic with metal elements multiple , 27.5 x 11.75 x 5.875 in , 1967 ,"Permutacion by Jesus-Rafael Soto, 1967","9,372 USD",1,27.5,11.75
8034,8285," 2,500 - 3,500 USD "," 4,000 USD ",2015-05-11, Rufino Tamayo,Bonhams,Post-War & Contemporary Prints & Multiples, Lithograph in colors on Rives BFK paper , 30 x 22.5 in , 1969 ,"Pastèque #2, from Mujeres (P. 119) by Rufino Tamayo, 1969","4,998 USD",1,30.0,22.5
8036,8287," 8,000 - 12,000 USD "," 8,750 USD ",2015-05-11, Jesus-Rafael Soto,Bonhams,Post-War & Contemporary Prints & Multiples, Screenprint in colors on Plexiglas and plastic with metal elements multiple , 13.375 x 13.375 x 7.375 in , 1967 ,"Escultura cinética (Sotomagie), from Permutacions by Jesus-Rafael Soto, 1967","10,934 USD",1,13.375,13.375
8037,8288," 8,000 - 10,000 USD "," 8,750 USD ",2015-05-12, Antonio Seguí,Doyle New York,Post-War & Contemporary Art, Oil and charcoal on canvas , 32 x 25.75 in , 1974 ,"Untitled by Antonio Seguí, 1974","10,934 USD",1,32.0,25.75
8038,8289," 3,000 - 5,000 USD "," 2,500 USD ",2015-05-12, Francisco Zuñiga,Doyle New York,Post-War & Contemporary Art, Charcoal and red chalk on paper laid to card , 21 x 26.5 in , 1968 ,"Nude by Francisco Zuñiga, 1968","3,124 USD",1,21.0,26.5
8039,8290," 1,000 - 1,500 USD "," 3,250 USD ",2015-05-12, Jesus-Rafael Soto,Swann Auction Galleries,Contemporary Art, Color screenprint , 17 x 17 in , 1969 ,"Sin título by Jesus-Rafael Soto, 1969","4,061 USD",1,17.0,17.0
8041,8292," 4,000 - 6,000 EUR "," 16,000 EUR* ",2015-05-16, René Portocarrero,De Vuyst,"Old Masters, Modern& Contemporary Art", Panel ," 45,5 x 35,5 cm. ", 1964 ,"Santa Barbara by René Portocarrero, 1964","22,886 USD",0,45.0,5.0
8042,8293," 6,000 - 8,000 EUR "," 5,000 EUR* ",2015-05-16, Antonio Seguí,De Vuyst,"Old Masters, Modern& Contemporary Art", Acrylic on canvas , 60 x 73 cm , 2006 ,"Tecnicolor by Antonio Seguí, 2006","7,153 USD",0,60.0,73.0
8043,8294," 2,000 - 3,000 USD "," 6,250 USD ",2015-05-16, Graciela Rodo-Boulanger,Gene Shapiro Auctioneers,Fine & Decorative Art, oil on canvas , 40 x 40 cm (15.75 x 15.75 in.) , 2002 ,"New Trio by Graciela Rodo-Boulanger, 2002","7,810 USD",1,40.0,40.0
8044,8295, 300 - 600 USD , 475 USD* ,2015-05-16, David Alfaro Siqueiros,Clark's Fine Art Gallery & Auctioneers Inc.,"American, European, Israeli & Latin American Fine Art", color lithograph , 22 x 30 in , 1973 ,"SLEEPING FIGURE by David Alfaro Siqueiros, 1973",594 USD,1,22.0,30.0
8045,8296," 1,000 - 1,500 USD "," 1,600 USD* ",2015-05-16, Rufino Tamayo,Clark's Fine Art Gallery & Auctioneers Inc.,"American, European, Israeli & Latin American Fine Art", color lithograph , 29 0.5 x 22 in , 1975 ,"EL PERSONAGE by Rufino Tamayo, 1975","1,999 USD",1,29.0,0.5
8048,8299," 800 - 1,200 USD ", 600 USD* ,2015-05-16, Francisco Zuñiga,Clark's Fine Art Gallery & Auctioneers Inc.,"American, European, Israeli & Latin American Fine Art", color lithograph , 22 x 30 in , 1973 ,"WOMEN OF MEXICO by Francisco Zuñiga, 1973",750 USD,1,22.0,30.0
8049,8300," 1,000 - 2,000 USD "," 1,700 USD* ",2015-05-16, Rufino Tamayo,Clark's Fine Art Gallery & Auctioneers Inc.,"American, European, Israeli & Latin American Fine Art", color lithograph , 15 x 21 in , 1957 ,"EL BRINDIS FELIZ by Rufino Tamayo, 1957","2,124 USD",1,15.0,21.0
8050,8301," 20,000 - 25,000 USD "," 15,000 USD* ",2015-05-16, Francisco Zuñiga,Clark's Fine Art Gallery & Auctioneers Inc.,"American, European, Israeli & Latin American Fine Art", cast bronze sculpture with green patina , 12 0.5 x 14 x 12 in , 1967 ,"MATERNIDAD EN CUCLILLAS (Vol. I, #528) by Francisco Zuñiga, 1967","18,744 USD",1,12.0,0.5
8051,8302, 100 - 300 USD , 160 USD* ,2015-05-16, Graciela Rodo-Boulanger,Clark's Fine Art Gallery & Auctioneers Inc.,"American, European, Israeli & Latin American Fine Art", color aquatint etching , 18 0.75 x 25 in ,,GIRL WITH CAT by Graciela Rodo-Boulanger,200 USD,1,18.0,0.75
8052,8303," 1,000 - 1,500 USD "," 1,600 USD* ",2015-05-17, Rufino Tamayo,Kaminski Auctions,20th Century Modern Design & Fine Art Auction, lithograph on handmade paper , 33 x 25 in ,,nude female torso by Rufino Tamayo,"1,999 USD",1,33.0,25.0
8053,8304," 10 - 1,000 USD ", 671 USD ,2015-05-18, Rufino Tamayo,Clarke Auction,"Auction From a Mt. Vernon, NY Storage & Additions Unreserved", Oil On Masonite ," 6"" x 12"" ", 1960 ,"Still Life by Rufino Tamayo, 1960",838 USD,1,6.0,12.0
8054,8305, 375 - 750 USD , 450 USD* ,2015-05-18, Francisco Zuñiga,Winter Associates,May Auction, lithograph ," 21.75"" x 30"" ", 1989 ,"Grupo de Mujeres [trans: Group of Women] by Francisco Zuñiga, 1989",562 USD,1,21.75,30.0
8055,8306," 500 - 1,000 USD ", 550 USD* ,2015-05-18, Francisco Zuñiga,Winter Associates,May Auction, lithograph ," 22.25"" x 30"" ", 1977 ,"Mujer Reclinada by Francisco Zuñiga, 1977",687 USD,1,22.25,30.0
8056,8307," 8,000 - 12,000 EUR ", Withdrawn ,2015-05-19, Jesus-Rafael Soto,Artcurial,Limited Edition, Silkscreen on plexiglass , 34 x 34 x 18.5 cm. , 1967 ,"Permutation Serie Sotomagie by Jesus-Rafael Soto, 1967",,0,34.0,34.0
8057,8308," 10,000 - 15,000 EUR ", Withdrawn ,2015-05-19, Jesus-Rafael Soto,Artcurial,Limited Edition, Screen printing on plexiglas , 34 x 34 x 18.5 cm. , 1967 ,"Structure Cinetique Serie Sotomagie by Jesus-Rafael Soto, 1967",,0,34.0,34.0
8058,8309," 6,000 - 8,000 EUR "," 7,625 EUR ",2015-05-19, Antonio Seguí,Artcurial,Limited Edition, Porcelain polychromed , Each Height: 38 cm. , 2002 ,"4 Works: Bacan; Julain; Tilingo; Tito et Boby by Antonio Seguí, 2002","10,625 USD",1,38.0,
8059,8310," 7,000 - 9,000 USD "," 12,500 USD ",2015-05-20, Jesus-Rafael Soto,Dallas Auction Gallery,American & European Fine Art & Sculptures, screenprint on Plexiglass with metal rods ," 19.625"" x 19.625""W x 5.5""D ", 1979 ,"Tes Azules y Negras by Jesus-Rafael Soto, 1979","15,620 USD",1,19.625,19.625
8060,8311," 7,000 - 9,000 USD "," 20,000 USD ",2015-05-20, Jesus-Rafael Soto,Dallas Auction Gallery,American & European Fine Art & Sculptures, screenprint on Plexiglas with metal rods ," 11.75"" x 27.375""W x 5.5""D ", 1978 ,"Escritura by Jesus-Rafael Soto, 1978","24,992 USD",1,11.75,27.375
8061,8312," 8,000 - 12,000 USD ", Withdrawn ,2015-05-21, Jesus-Rafael Soto,Hindman,Post War & Contemporary Art, wood with nylon and printed paper , 18.5 x 11.5 x 5.5 inches , 1965 ,"Light Trap by Jesus-Rafael Soto, 1965",,1,18.5,11.5
8066,8317," 2,000 - 3,000 USD "," 1,875 USD ",2015-05-21, Rufino Tamayo,Hindman,Fine Prints, color lithograph , 20.875 x 27.375 inches , 1969 ,"Mujer sonriente by Rufino Tamayo, 1969","2,343 USD",1,20.875,27.375
8067,8318," 5,000 - 7,000 USD "," 6,250 USD ",2015-05-21, Jesus-Rafael Soto,Hindman,Post War & Contemporary Art, plastic , Height: 19.5 inches , 1965-1968 ,"Untitled by Jesus-Rafael Soto, 1965-1968","7,810 USD",1,19.5,
8068,8319, 500 - 700 USD ," 1,250 USD ",2015-05-21, Rufino Tamayo,Hindman,Fine Prints, color lithograph , 12 x 8.75 inches ,,Cabeza con pajaros by Rufino Tamayo,"1,562 USD",1,12.0,8.75
8069,8320," 800 - 1,200 USD "," 1,625 USD ",2015-05-21, Rufino Tamayo,Hindman,Fine Prints, lithograph , 21 x 16.5 inches ,,Two Women by Rufino Tamayo,"2,031 USD",1,21.0,16.5
8070,8321," 8,000 - 12,000 USD ", Withdrawn ,2015-05-21, Jesus-Rafael Soto,Hindman,Post War & Contemporary Art, wood with painted metal rod and nylon string , 17 x 15 x 7 inches , 1966 ,"Incline bleu et noir by Jesus-Rafael Soto, 1966",,1,17.0,15.0
8071,8322," 8,000 - 12,000 USD ", Withdrawn ,2015-05-21, Jesus-Rafael Soto,Hindman,Post War & Contemporary Art, silkscreen on aluminum with metal elements and nylon string , 11 x 12 x 5 inches , 1969 ,"Vibrations metalliques by Jesus-Rafael Soto, 1969",,1,11.0,12.0
8072,8323," 20,000 - 25,000 USD "," 27,500 USD ",2015-05-26, Jesus-Rafael Soto,Sotheby's,Latin American Art Modern & Contemporary, enamel on stainless steel with painted metal elements , 22 by 24 by 18 in. 56 by 61 by 45.7 cm , 1975 ,"ESTELA EN EL CÍRCULO by Jesus-Rafael Soto, 1975","34,363 USD",1,22.0,24.0
8073,8324," 35,000 - 45,000 USD "," 68,750 USD ",2015-05-26, Joaquín Torres García,Sotheby's,Latin American Art Modern & Contemporary, oil on canvas , 17.25 by 11.75 in. 44 by 30 cm , 1927 ,"COMPOSITION À L'ARBRE by Joaquín Torres García, 1927","85,909 USD",1,17.25,11.75
8074,8325," 35,000 - 45,000 USD "," 81,250 USD ",2015-05-26, Joaquín Torres García,Sotheby's,Latin American Art Modern & Contemporary, tempera on canvas , 16.125 by 12.75 in. 41 by 32.5 cm , 1928 ,"MÁSCARA ROJA Y BLANCA by Joaquín Torres García, 1928","101,528 USD",1,16.125,12.75
8075,8326," 20,000 - 25,000 USD "," 25,000 USD ",2015-05-26, Diego Rivera,Sotheby's,Latin American Art Modern & Contemporary, graphite and watercolor on paper , 15.5 by 11 in. 39 by 28 cm , circa 1935 ,"MUJER CON ALCATRACES by Diego Rivera, circa 1935","31,240 USD",1,15.5,11.0
8076,8327," 12,000 - 18,000 USD "," 23,750 USD ",2015-05-26, Rufino Tamayo,Sotheby's,Latin American Art Modern & Contemporary, Mixografía on handmade paper printed at the Taller de Gráfica Mexicana , 59.25 by 94.5 in. 151.25 by 240.3 cm , 1983 ,"DOS PERSONAJES ATACADOS POR PERROS (TWO PERSONAGES ATTACKED BY DOGS) by Rufino Tamayo, 1983","29,678 USD",1,59.25,94.5
8078,8329," 700,000 - 1,000,000 USD ", Withdrawn ,2015-05-26, Rufino Tamayo,Phillips,Latin America, oil and sand on canvas , 52 x 39 in. (132.1 x 99.1 cm) , 1982 ,"El juglar by Rufino Tamayo, 1982",,1,52.0,39.0
8079,8330," 70,000 - 90,000 USD "," 68,750 USD ",2015-05-26, Rufino Tamayo,Phillips,Latin America, graphite and charcoal on paper , 18.25 x 24.25 in. (46.4 x 61.6 cm) , 1933 ,"El canto y la música by Rufino Tamayo, 1933","85,909 USD",1,18.25,24.25
8081,8332," 175,000 - 225,000 USD "," 218,750 USD ",2015-05-26, Armando Reverón,Sotheby's,Latin American Art Modern & Contemporary, oil on canvas , 18.25 by 28.25 in. 46.3 by 72 cm , 1941 ,"CABO BLANCO by Armando Reverón, 1941","273,346 USD",1,18.25,28.25
8082,8333," 30,000 - 40,000 USD "," 60,000 USD ",2015-05-26, Benito Quinquela Martin,Sotheby's,Latin American Art Modern & Contemporary, oil on canvas , 13.875 by 22.5 in. 35.2 by 57.1 cm ,,UNTITLED by Benito Quinquela Martin,"74,975 USD",1,13.875,22.5
8083,8334," 25,000 - 35,000 USD "," 43,750 USD ",2015-05-26, Diego Rivera,Sotheby's,Latin American Art Modern & Contemporary, watercolor and oil on paper , 15.375 by 11 in. 40 by 28 cm , 1939 ,"DESNUDO DE MODESTA by Diego Rivera, 1939","54,669 USD",1,15.375,11.0
8084,8335," 60,000 - 80,000 USD "," 62,500 USD ",2015-05-26, Rufino Tamayo,Sotheby's,Latin American Art Modern & Contemporary, gouache on paper , 12.75 by 18.875 in. 32.4 by 47.8 cm , 1932 ,"LAS FLECHADORAS by Rufino Tamayo, 1932","78,099 USD",1,12.75,18.875
8090,8341," 1,200,000 - 1,600,000 USD "," 3,010,000 USD ",2015-05-26, Rufino Tamayo,Sotheby's,Latin American Art Modern & Contemporary, oil and sand on canvas , 49 by 71 in. 124 by 180 cm , 1987 ,"LA FAMILIA by Rufino Tamayo, 1987","761,236 USD",1,49.0,71.0
8091,8342," 70,000 - 90,000 USD "," 112,500 USD ",2015-05-26, Joaquín Torres García,Sotheby's,Latin American Art Modern & Contemporary, oil on canvas , 19.25 by 15 in. 49 by 38 cm , 1928 ,"FEMME ABSTRAITE by Joaquín Torres García, 1928","140,578 USD",1,19.25,15.0
8092,8343," 20,000 - 30,000 USD "," 52,500 USD ",2015-05-26, Joaquín Torres García,Sotheby's,Latin American Art Modern & Contemporary, ink and graphite on paper , 9.375 by 12.25 in. 24 by 31 cm , 1927 ,"PAYSAGE by Joaquín Torres García, 1927","65,603 USD",1,9.375,12.25
8096,8347," 25,000 - 35,000 USD "," 23,750 USD ",2015-05-26, Francisco Toledo,Sotheby's,Latin American Art Modern & Contemporary," gouache, ink and gold leaf on heavy paper ", each: 6.125 by 4 in.; entire sheet: 15.125 by... , circa 1968 ,"EIGHT PORTRAITS OF ELISA by Francisco Toledo, circa 1968","29,678 USD",1,6.125,4.0
8099,8350," 400,000 - 600,000 USD "," 545,000 USD ",2015-05-26, Armando Reverón,Phillips,Latin America, oil and tempera on burlap , 41.5 x 38.5 in. (105.4 x 97.8 cm) , 1939 ,"Desnudo by Armando Reverón, 1939","681,021 USD",1,41.5,38.5
8100,8351," 500,000 - 700,000 USD "," 610,000 USD ",2015-05-26, Alfredo Ramos Martínez,Sotheby's,Latin American Art Modern & Contemporary," gouache, ink, crayon, and graphite on board ", 67 by 47 in. 170.1 by 119.3 cm , circa 1935 ,"UNTITLED (WOMAN WITH FLOWERS) by Alfredo Ramos Martínez, circa 1935","762,244 USD",1,67.0,47.0
8102,8353," 18,000 - 22,000 USD "," 22,500 USD ",2015-05-26, Jesus-Rafael Soto,Sotheby's,Latin American Art Modern & Contemporary, painted wood construction , 26.5 by 7 by 7 in. 67.3 by 17.8 by 17.8 cm , 1966 ,"TIRATURA 45 by Jesus-Rafael Soto, 1966","28,116 USD",1,26.5,7.0
8104,8355," 80,000 - 120,000 USD "," 100,000 USD ",2015-05-26, Joaquín Torres García,Sotheby's,Latin American Art Modern & Contemporary, oil on canvas , 22.5 by 28 in. 57 by 71 cm , 1946 ,"GRAFISMO DEL HOMBRE Y BARCO by Joaquín Torres García, 1946","124,958 USD",1,22.5,28.0
8106,8357," 20,000 - 25,000 USD "," 27,500 USD ",2015-05-26, Francisco Toledo,Sotheby's,Latin American Art Modern & Contemporary," watercolor, gouache and ink on paper ", 17.625 by 15.375 in. 44.7 by 40 cm , 1973 ,"GALLO GALLINA by Francisco Toledo, 1973","34,363 USD",1,17.625,15.375
8107,8358," 12,000 - 18,000 USD "," 11,250 USD ",2015-05-26, Francisco Toledo,Sotheby's,Latin American Art Modern & Contemporary, watercolor and ink on paper , 80.25 by 100.625 in.; 9.75 by 12.75 in. 21 by 27... , circa 1972 ,"AMANTES Y CHAPULINES AND FIGURAS CAMINANDO (PERSONAJES Y VENADOS) by Francisco Toledo, circa 1972","14,058 USD",1,80.25,100.625
8109,8360," 20,000 - 30,000 USD "," 40,000 USD ",2015-05-26, Francisco Toledo,Phillips,Latin America," gouache on paper, laid on unstretched canvas ", various sizes , 1965 ,"3 works:Hombre sonriendo con sombrero negro; Niña gata con círculo; Niña gatita by Francisco Toledo, 1965","49,983 USD",1,,
8110,8361," 60,000 - 80,000 USD "," 106,250 USD ",2015-05-26, Diego Rivera,Phillips,Latin America," watercolor on rice paper, laid on artist's board ", 15.375 x 11 in. (39 x 28 cm) , 1937 ,"Mujer sentada en el mercado con rebozo azul y flores by Diego Rivera, 1937","132,768 USD",1,15.375,11.0
8111,8362," 300,000 - 400,000 USD "," 346,000 USD ",2015-05-26, Diego Rivera,Sotheby's,Latin American Art Modern & Contemporary, oil on canvas , 32.25 by 25.75 in. 82 by 65.4 cm , 1921 ,"EL BALCÓN by Diego Rivera, 1921","432,355 USD",1,32.25,25.75
8112,8363," 200,000 - 300,000 USD "," 162,500 USD ",2015-05-26, Benito Quinquela Martin,Sotheby's,Latin American Art Modern & Contemporary, oil on board , 53.125 by 48 in. 135 by 122 cm , 1944 ,"VELEROS AL SOL by Benito Quinquela Martin, 1944","203,057 USD",1,53.125,48.0
8113,8364," 70,000 - 90,000 USD "," 93,750 USD ",2015-05-26, Alfredo Ramos Martínez,Sotheby's,Latin American Art Modern & Contemporary, charcoal and tempera on newsprint paper , 22.625 by 16.625 in. 57.5 by 42.2 cm , 1934 ,"VENDEDORES DE JARROS by Alfredo Ramos Martínez, 1934","117,148 USD",1,22.625,16.625
8115,8366," 50,000 - 70,000 USD "," 50,000 USD ",2015-05-26, Francisco Toledo,Sotheby's,Latin American Art Modern & Contemporary, watercolor and ink on paper , each page: 8.5 by 10.75 in. 22 by 27 cm , circa 1970s ,"CUADERNO DE DIBUJO DE TOLEDO, NUEVA YORK (NEW YORK SKETCHBOOK) by Francisco Toledo, circa 1970s","62,479 USD",1,8.5,10.75
8116,8367," 6,000 - 8,000 USD "," 7,500 USD ",2015-05-26, Francisco Toledo,Sotheby's,Latin American Art Modern & Contemporary, watercolor on paper , 8.5 by 10.75 in. 21.6 by 27.3 cm , circa 1970s ,"WATERING FLOWERS by Francisco Toledo, circa 1970s","9,372 USD",1,8.5,10.75
8117,8368," 4,000 - 6,000 USD "," 3,750 USD ",2015-05-26, Francisco Toledo,Sotheby's,Latin American Art Modern & Contemporary, ink and watercolor on paper , 9.75 by 12.75 in. 24.8 by 32.4 cm , circa 1970s ,"CHAPULÍN CON SAPO by Francisco Toledo, circa 1970s","4,686 USD",1,9.75,12.75
8119,8370," 400,000 - 600,000 USD "," 514,000 USD ",2015-05-26, Joaquín Torres García,Sotheby's,Latin America: The Legacy of Abstraction, oil on canvas , 20.25 by 24.25 in. 51.4 by 61.9 cm , 1930 ,"PORT CONSTRUCTIF AVEC CIEL BLEU (PUERTO CONSTRUCTIVO CON CIELO AZUL) by Joaquín Torres García, 1930","642,284 USD",1,20.25,24.25
